course_code,course_title,credit_value,dept_description
SBI3CO,Biology,1,Alternative Education
SBI3UK,Biology,1,Alternative Education
SBI4UO,Biology,1,Alternative Education
SCH3UK,Chemistry,1,Alternative Education
SCH3UO,Chemistry,1,Alternative Education
SCH4CB,Chemistry,2,Alternative Education
SCH4CK,Chemistry,1,Alternative Education
SNC1D+,Science,1,Alternative Education
SNC1DA,Science,1,Alternative Education
SNC1DB,Science,2,Alternative Education
SNC1DK,Science,1,Alternative Education
SNC1DO,Science,1,Alternative Education
SNC1PA,Science,1,Alternative Education
SNC1PB,Science,2,Alternative Education
SNC1PK,Science,1,Alternative Education
SNC1PO,Science,1,Alternative Education
SNC2DA,Science,1,Alternative Education
SNC2DB,Science,2,Alternative Education
SNC2DK,Science,1,Alternative Education
SNC2DO,Science,1,Alternative Education
SNC2PA,Science,1,Alternative Education
SNC2PB,Science,2,Alternative Education
SNC2PK,Science,1,Alternative Education
SNC2PO,Science,1,Alternative Education
SNC4EK,Science,1,Alternative Education
SPH3UK,Physics,1,Alternative Education
SPH4CB,Physics,2,Alternative Education
SPH4CK,Physics,1,Alternative Education
SVN3EA,Environmental Science,1,Alternative Education
SVN3EB,Environmental Science,2,Alternative Education
SVN3EK,Environmental Science,1,Alternative Education
SVN3EO,Environmental Science,1,Alternative Education
SVN3MK,Environmental Science,1,Alternative Education
TGJ2OK,Communication Technology,1,Alternative Education
TGJ2OO,Communications Technology,1,Alternative Education
TGJ3MO,Communications Technology,1,Alternative Education
TGJ4MB,Communications Technology,2,Alternative Education
TGJ4MK,Communication Technology,1,Alternative Education
TGJ4MO,Communication Technology,2,Alternative Education
TTJ3CO,Transportation Technology,1,Alternative Education
BAF3M1,Financial Accounting Fundamentals,1,Business Studies
BAI3E1,Introduction to Accounting,1,Business Studies
BAN4E1,Accounting for a Small Business,1,Business Studies
BAT4M1,Financial Accounting Principles,1,Business Studies
BBB4M1,International Business Fundamentals,1,Business Studies
BBI2O1,Introduction to Business,1,Business Studies
BBI2O7,Introduction to Business,1,Business Studies
BMI3C1,"Marketing:Goods, Services, Events",1,Business Studies
BOH4M1,Business Leadership:  Management Fu,1,Business Studies
BTT1O1,Information and Communication Techn,1,Business Studies
BTT1OL,Information and Communication Techn,1,Business Studies
BTT1OY,Information and Communication Techn,0,Business Studies
CLN4C1,Legal Studies,1,Business Studies
CLN4U1,Canadian and International Law,1,Business Studies
CLU3M1,Understanding Canadian Law,1,Business Studies
IDC4U1,Interdisciplinary Studies,1,Business Studies
IDC4U3,Interdisciplinary Studies,1,Business Studies
ADA1OC,Dramatic Arts,2,Community Based Education
ADA2OC,Dramatic Arts,2,Community Based Education
ADA3MC,Dramatic Arts,2,Community Based Education
ADA4MC,Dramatic Arts,2,Community Based Education
AMI1OC,Instrumental Music-Band,2,Community Based Education
AMI3MC,Instrumental Music-Band,2,Community Based Education
AMI4MC,Instrumental Music-Band,2,Community Based Education
AMV2OC,Music - Vocal/Choral,2,Community Based Education
AVI2OC,Visual Arts,2,Community Based Education
AVI3MC,Visual Arts,2,Community Based Education
AVI3MI,Visual Arts,1,Community Based Education
AVI4MC,Visual Arts,2,Community Based Education
AVI4MI,Visual Arts,1,Community Based Education
AWL3MC,Visual Arts - Drawing,2,Community Based Education
AWL3MQ,Visual Arts - Drawing,1,Community Based Education
AWQ3MC,Visual Arts-Photography,2,Community Based Education
AWQ3MQ,Visual Arts - Photography,1,Community Based Education
AWQ3MT,Visual Arts - Photography,2,Community Based Education
AWQ4MC,Visual Arts - Photography,2,Community Based Education
AWR4MC,Visual Arts - Film/Video,2,Community Based Education
BAF3MC,Financial Accounting Fundamentals,2,Community Based Education
BAF3MI,Financial Accounting Fundamentals,1,Community Based Education
BAT4MC,Financial Accounting Principles,2,Community Based Education
BBB4MC,International Business Fundamentals,2,Community Based Education
BBB4MQ,International Business Fundamentals,1,Community Based Education
BBI2OC,Introduction to Business,2,Community Based Education
BDI3CT,Entrepreneurship:  The Venture,2,Community Based Education
BMI3CC,"Marketing:Goods, Services, Events",2,Community Based Education
BMI3CI,"Marketing: Goods, Services, Events",1,Community Based Education
BOH4MC,Business Leadership:  Management Fu,2,Community Based Education
BOH4MT,Business Leadership:  Management Fu,2,Community Based Education
CGC1DC,Geography of Canada,2,Community Based Education
CGC1PI,Geography of Canada,1,Community Based Education
CGG3OQ,Travel and Tourism:A Geographic Perspective,1,Community Based Education
CGW4UC,Canadian and World Issues:  A Geogr,2,Community Based Education
CHC2DC,Canadian History in the 20th Century,2,Community Based Education
CHC2PC,Canadian History in the 20th Century,2,Community Based Education
CHT3OC,World History Since 1900:Global & Regional Interactions,2,Community Based Education
CHT3OI,World History Since 1900:Global & Regional Interactions,1,Community Based Education
CHW3MC,World History to the Fifteenth Century,2,Community Based Education
CHY4UI,World History Since the Fifteenth Century,1,Community Based Education
CIA4UC,Analysing Current Economic Issues,2,Community Based Education
CIE3MC,The Individual and the Economy,2,Community Based Education
CIE3MI,The Individual and the Economy,1,Community Based Education
CLN4UC,Canadian and International Law,2,Community Based Education
CLU3MC,Understanding Canadian Law,2,Community Based Education
COP1X7,grade 9 CoOp Out-Of-School HPA-1 Credit,1,Community Based Education
COP2X7,grade 10 CoOp Out-Of-School HPA-1 Credit,1,Community Based Education
COP3X#,Co Op Sem 1 or 2 Am or Pm,2,Community Based Education
COP3X&,CoOp Sem 1 or 2 PM,2,Community Based Education
COP3X0,CoOp Sem 1 or 2 AM ,2,Community Based Education
COP3X1,CoOp Out-of-School 2 Credit,2,Community Based Education
COP3X2,CoOp Sem 1 PM,2,Community Based Education
COP3X3,CoOp Out-of-School 1 Credit,1,Community Based Education
COP3X4,CoOp Out-of-School 4 Credits,4,Community Based Education
COP3X5,CoOp 2 Credit - Sem 1 - AM ONLY,2,Community Based Education
COP3X6,CoOp 2 Credit - Sem 1 - PM Only,2,Community Based Education
COP3X7,CoOp 2 Credit - Sem 2 - AM ONLY,2,Community Based Education
COP3X7,grade 11  CoOp Out-Of-School HPA-1 Credit,1,Community Based Education
COP3X8,CoOp 2 Credit - Sem 2 - PM ONLY,2,Community Based Education
COP3X9,CoOp Sem 2 Am or PM,2,Community Based Education
COP4X1,Co-Op Grade 12,2,Community Based Education
COP4X7,grade 12 CoOp Out-Of-School HPA-1 Credit,1,Community Based Education
DCO3OC,Creating Opportunities through Co-o,2,Community Based Education
DCO3OI,Creating Opportunities through Co-o,1,Community Based Education
DCO3OT,Creating Opportunities through Co-o,2,Community Based Education
EMS3OC,Media Studies,2,Community Based Education
ENG1DC,English,2,Community Based Education
ENG1DI,English,1,Community Based Education
ENG1PC,English,2,Community Based Education
ENG2DC,English,2,Community Based Education
ENG2DI,English,1,Community Based Education
ENG2DQ,English,1,Community Based Education
ENG2DT,English,2,Community Based Education
ENG2PC,English,2,Community Based Education
ENG2PI,English,1,Community Based Education
ENG2PQ,English,1,Community Based Education
ENG2PT,English,2,Community Based Education
ENG3CC,English,2,Community Based Education
ENG3CI,English,1,Community Based Education
ENG3CQ,English,1,Community Based Education
ENG3CT,English,2,Community Based Education
ENG3EC,English,2,Community Based Education
ENG3ET,English,2,Community Based Education
ENG3UC,English,2,Community Based Education
ENG3UI,English,1,Community Based Education
ENG3UQ,English,1,Community Based Education
ENG3UT,English,2,Community Based Education
ENG4CC,English,2,Community Based Education
ENG4CI,English,1,Community Based Education
ENG4CQ,English,1,Community Based Education
ENG4CT,English,2,Community Based Education
ENG4EC,English,2,Community Based Education
ENG4UC,English,2,Community Based Education
ENG4UI,English,1,Community Based Education
ENG4UQ,English,1,Community Based Education
ENG4UT,English,2,Community Based Education
ESLBOC,English as a Second Language,2,Community Based Education
ESLBOT,English as a Second Language,2,Community Based Education
ESLCOC,English as a Second Language,2,Community Based Education
ESLCOT,English as a Second Language,2,Community Based Education
ESLDOC,English as a Second Language,2,Community Based Education
ESLEOC,English as a Second Language,2,Community Based Education
FSF1DC,Core French,2,Community Based Education
FSF1DI,Core French,1,Community Based Education
FSF1PC,CoOp French 2 Credits,2,Community Based Education
FSF3UC,Core French,2,Community Based Education
GLC2OC,Career Studies,2,Community Based Education
GLC2OI,Career Studies,1,Community Based Education
GLC2OQ,Career Studies,1,Community Based Education
GLC2OT,Career Studies,2,Community Based Education
GLE1OI,Learning Strategies 1: Skills for Success in Secondary School,1,Community Based Education
GLE2OC,Learning Strategies 1: Skills for Success in Secondary School,2,Community Based Education
GLE3OC,Advanced Learning Strategies: Skills for Success After Secondary School,2,Community Based Education
GLE3OI,Advanced Learning Strategies: Skills for Success After Secondary School,1,Community Based Education
GLE3OT,Advanced Learning Strategies: Skills for Success After Secondary School,2,Community Based Education
GLE4OC,Advanced Learning Strategies: Skills for Success After Secondary School,2,Community Based Education
GLN4OC,Navigating the Workplace,2,Community Based Education
GPP3OC,Leadership and Peer Support,2,Community Based Education
HFA4UT,Nutrition and Health,2,Community Based Education
HFC3MC,Food and Culture,2,Community Based Education
HFC3MI,Food and Culture,1,Community Based Education
HFC3MT,Food and Culture,2,Community Based Education
HFN2OC,Food and Nutrition,2,Community Based Education
HFN2OT,Food and Nutrition,2,Community Based Education
HHG4MC,Issues in Human Growth and Development,2,Community Based Education
HHG4MI,Issues in Human Growth and Development,1,Community Based Education
HHG4MT,Issues in Human Growth and Development,2,Community Based Education
HIF1OC,"Individual, Family and Social Living",2,Community Based Education
HIF1OI,"Individual, Family and Social Living",1,Community Based Education
HPA1X1,HPA Grade 9 Semester 1,0,Community Based Education
HPA1X2,HPA Grade 9 Semester 2,0,Community Based Education
HPA2X1,HPA Grade 10 Semester 1,0,Community Based Education
HPA2X2,HPA Grade 10 Semester 2,0,Community Based Education
HPA3X1,HPA Grade 11 Semester 1,0,Community Based Education
HPA3X2,HPA Grade 11 Semester 2,0,Community Based Education
HPA4X1,HPA Grade 12 Semester 1,0,Community Based Education
HPA4X2,HPA Grade 12 Semester 2,0,Community Based Education
HPC3OC,Parenting,2,Community Based Education
HPC3OQ,Parenting,1,Community Based Education
HPC3OT,Parenting,2,Community Based Education
HPW3CC,Living and Working with Children,2,Community Based Education
HPW3CI,Living and Working with Children,1,Community Based Education
HSB4UC,Challenge and Change in Society,2,Community Based Education
HSP3UC,Introduction to Anthropology and Psychology,2,Community Based Education
ICS2OC,Introduction to Computer Studies,2,Community Based Education
ICS3UC,Introduction to Computer Studies,2,Community Based Education
ICS4UC,Computer and Information Science,2,Community Based Education
IDC4UC,Interdisciplinary Studies,2,Community Based Education
IDC4UI,Interdisciplinary Studies,1,Community Based Education
IDC4UT,Interdisciplinary Studies,2,Community Based Education
IDP4UC,Interdisciplinary Studies,2,Community Based Education
MAP4CC,Foundations for College Mathematics,2,Community Based Education
MAP4CI,Foundations for College Mathematics,1,Community Based Education
MAP4CQ,Foundations for College Mathematics,1,Community Based Education
MAP4CT,Foundations for College Mathematics,2,Community Based Education
MBF3CI,Foundations for College Mathematics,1,Community Based Education
MBF3CQ,Foundations for College Mathematics,1,Community Based Education
MCF3MC,Functions and Applications,2,Community Based Education
MCF3MQ,Functions and Applications,1,Community Based Education
MCF3MT,Functions and Applications,2,Community Based Education
MCR3UC,Functions,2,Community Based Education
MCR3UI,Functions,1,Community Based Education
MCR3UQ,Functions,1,Community Based Education
MCR3UT,Functions,2,Community Based Education
MCT4CC,Mathematics for College Technology,2,Community Based Education
MCT4CI,Mathematics for College Technology,1,Community Based Education
MCT4CQ,Mathematics for College Technology,1,Community Based Education
MCT4CT,Mathematics for College Technology,2,Community Based Education
MCV4UC,Calculus and Vectors,2,Community Based Education
MEL3EC,Mathematics for Work and Everyday Life,2,Community Based Education
MEL3EQ,Mathematics for Work and Everyday Life,1,Community Based Education
MEL3ET,Mathematics for Work and Everyday Life,2,Community Based Education
MEL4EC,Mathematics for Work and Everyday Life,2,Community Based Education
MFM2PC,Foundations of Mathematics,2,Community Based Education
MFM2PI,Foundations of Mathematics,1,Community Based Education
MFM2PQ,Foundations of Mathematics,1,Community Based Education
MFM2PT,Foundations of Mathematics,2,Community Based Education
MHF4UC,Advanced Functions,2,Community Based Education
MHF4UT,Advanced Functions,2,Community Based Education
MPM2DC,Principles of Mathematics,2,Community Based Education
MPM2DI,Principles of Mathematics,1,Community Based Education
MPM2DQ,Principles of Mathematics,1,Community Based Education
MPM2DT,Principles of Mathematics,2,Community Based Education
OLC4OQ,Ontario Secondary School Literacy,1,Community Based Education
PAD3OI,Outdoor Activities,1,Community Based Education
PAF2OI,Personal and Fitness Activities,1,Community Based Education
PAF3OC,Personal and Fitness Activities,2,Community Based Education
PAF4OC,Personal and Fitness Activities,2,Community Based Education
PAF4OI,Personal and Fitness Activities,1,Community Based Education
PAF4OQ,Personal and Fitness Activities,1,Community Based Education
PAF4OT,Personal and Fitness Activities,2,Community Based Education
PAI3OC,Individual & Small Group Activities,2,Community Based Education
PAI3OT,Individual & Small Group Activities,2,Community Based Education
PAL3OC,Large Group Activities,2,Community Based Education
PAL3OQ,Large Group Activities,1,Community Based Education
PAL3OT,Large Group Activities,2,Community Based Education
PLF4MC,Recreation and Fitness Leadership,2,Community Based Education
PPL1OC,Healthy Active Living Education,2,Community Based Education
PPL1OI,Healthy Active Living Education,1,Community Based Education
PPL2OC,Healthy Active Living Education,2,Community Based Education
PPL2OI,Healthy Active Living Education,1,Community Based Education
PPL2OT,Healthy Active Living Education,2,Community Based Education
PPL3OC,Healthy Active Living Education,2,Community Based Education
PPL3OI,Healthy Active Living Education,1,Community Based Education
PPL3OQ,Healthy Active Living Education,1,Community Based Education
PPL3OT,Healthy Active Living Education,2,Community Based Education
PPL4OC,Healthy Active Living Education,2,Community Based Education
PPL4OQ,Healthy Active Living Education,1,Community Based Education
PPL4OT,Healthy Active Living Education,2,Community Based Education
PSK4UC,Introductory Kinesiology,2,Community Based Education
PSK4UI,Introductory Kinesiology,1,Community Based Education
SBI3CC,Biology,2,Community Based Education
SBI3CQ,Biology,1,Community Based Education
SBI3UC,Biology,2,Community Based Education
SBI3UI,Biology,1,Community Based Education
SBI4UC,Biology,2,Community Based Education
SCH3UC,Chemistry,2,Community Based Education
SCH3UI,Chemistry,1,Community Based Education
SCH3UQ,Chemistry,1,Community Based Education
SCH4UC,Chemistry,2,Community Based Education
SCH4UI,Chemistry,1,Community Based Education
SNC1DC,Science,2,Community Based Education
SNC1DI,Science,1,Community Based Education
SNC1PC,Science,2,Community Based Education
SNC2DC,Science,2,Community Based Education
SNC2DI,Science,1,Community Based Education
SNC2DT,Science,2,Community Based Education
SNC2PC,Science,2,Community Based Education
SNC2PQ,Science,1,Community Based Education
SNC2PT,Science,2,Community Based Education
SPH3UC,Physics,2,Community Based Education
SPH3UQ,Physics,1,Community Based Education
SPH3UT,Physics,2,Community Based Education
SPH4CC,Physics,2,Community Based Education
SPH4CT,Physics,2,Community Based Education
SPH4UC,Physics,2,Community Based Education
SPH4UT,Physics,2,Community Based Education
TDJ3MC,Technological Design,2,Community Based Education
TEJ3MC,Exploring Computer Technology,2,Community Based Education
TGJ2OC,Communications Technology,2,Community Based Education
TGJ2OI,Communications Technology,1,Community Based Education
TGJ3MC,Communications Technology,2,Community Based Education
TGJ3MT,Communication Technology,2,Community Based Education
TGV3MC,"Communications Technology: TV, Video & Movie Production",2,Community Based Education
TGV3MI,Vocational Art,1,Community Based Education
TGV4MC,"Communications Technology: TV, Video & Movie Production",2,Community Based Education
TTJ3CT,Transportation Technology,2,Community Based Education
YYY4X1,Dual Credit - College-Delivered,0,Community Based Education
YYY4X2,Dual Credit - College-Delivered,0,Community Based Education
YYY4X3,Dual Credit - College-Delivered,0,Community Based Education
YYY4X4,Dual Credit - College-Delivered,0,Community Based Education
ICS2O1,Introduction to Computer Studies,1,Computer Studies
ICS2O2,Intro to Computer Studies,1,Computer Studies
ICS2OG,Intro to Computer Studies,1,Computer Studies
ICS3C1,Introduction to Computer Programming,1,Computer Studies
ICS3U1,Introduction to Computer Science,1,Computer Studies
ICS3U6,Introduction to Computer Science ,1,Computer Studies
ICS4C1,"Computer Programming, Grade 12, Col",1,Computer Studies
ICS4U1,Computer Science ,1,Computer Studies
ICS4UE,Computer Science,1,Computer Studies
IDC3OE,Interdisciplinary Studies,1,Computer Studies
ADA1O1,Drama,1,Drama
ADA2O1,Drama,1,Drama
ADA3M1,Drama,1,Drama
ADA4M1,Drama,1,Drama
ADB2O1,Drama - Musical Theatre,1,Drama
ADB3M1,Drama - Musical Theatre,1,Drama
ADB4M1,Drama - Musical Theatre,1,Drama
ADD301,Drama- Production,1,Drama
ADD4M1,Drama- Production,1,Drama
AEA301,Exploring And Creating in the Arts,1,Drama
AEA401,Exploring and Creating in the Arts,1,Drama
ELS2O1,Literacy Skills: Reading and Writing,1,English
EMS3O1,Media Studies,1,English
ENG1D1,English,1,English
ENG1D2,English,1,English
ENG1DG,English,1,English
ENG1P1,English,1,English
ENG1P7,English,1,English
ENG2D+,English,1,English
ENG2D1,English,1,English
ENG2D2,English,1,English
ENG2DG,English,1,English
ENG2P1,English,1,English
ENG3C1,English,1,English
ENG3E1,English Workplace,1,English
ENG3U1,English,1,English
ENG3UE,English,1,English
